Company Common Name;Country of Headquarters;TRBC Business Sector Name;Current Ratio;debt to asset ratio ;equity to asset ratio ;debt to equity ratio ;Roa return on asset ;roe return on equity ;long term coverage ratio;asset turnover rate 
WashTec AG;Germany;Industrial Goods;1,10598;0,016790972;0,735608575;1,483485683;0,288304893;0,288304893;197,667907;3,319036276
Indus Holding AG;Germany;Industrial Conglomerates;1,67218;0,62831637;0,959049974;1,464084017;0,117698267;0,117698267;3,732587107;2,345245583
Hamburger Hafen und Logistik AG;Germany;Transportation;2,0377;0,573209899;1,172985797;2,21094741;0,166365332;0,166365332;4,481748009;2,568982324
Construcciones y Auxiliar de Ferrocarriles SA;Spain;Industrial Goods;1,42731;0,303865605;0,364465337;3,151363842;0,020595905;0,020595905;2,360826028;0,71737383
Traton SE;Germany;Industrial Goods;0,98369;0,318166169;0,671448244;2,654503504;0,059042919;0,059042919;4,394229035;1,39809502
Amadeus Fire AG;Germany;Industrial & Commercial Services;2,64956;0;0,723505741;0,675370971;0,319593555;0,319593555;#DIV/0!;2,866942187
Fluidra SA;Spain;Cyclical Consumer Products;1,80573;0,342967955;0,830572227;1,291341226;0,077301841;0,077301841;5,750344768;1,972183983
JOST Werke AG;Germany;Automobiles & Auto Parts;2,44046;0,623036998;0,73362398;1,97155728;-0,22025226;-0,22025226;3,944852569;2,457789101
Interpump Group SpA;Italy;Industrial Goods;1,7667;0,348667072;1,089014391;0,994590109;0,192855667;0,192855667;4,470283058;1,558640505
CTT Correios de Portugal SA;Portugal;Transportation;0,81459;7,92E-05;0,197620117;7,750699247;0,029306143;0,029306143;9173,666983;0,726662455
Derichebourg SA;France;Industrial & Commercial Services;0,97936;0,253201491;0,823310099;1,78184682;0,114281083;0,114281083;18,69206146;4,732857838
SGL Carbon SE;Germany;Mineral Resources;1,97893;0,296896239;0,517671047;2,373522976;0,157340281;0,157340281;3,281571919;0,974286362
Haulotte Group SA;France;Industrial Goods;2,46041;0,23265806;0,8166328;0,822484637;0,060240964;0,060240964;7,343439393;1,708510362
Picanol NV;Belgium;Industrial Goods;2,16015;0;2,127003092;0,2340094;0,343286353;0,343286353;#DIV/0!;2,325165715
Aannemingsmaatschappij Cfe NV;Belgium;Industrial & Commercial Services;0,86592;0,355168769;0,896508871;1,830185565;0,098524551;0,098524551;4,714314704;1,674377349
Cewe Stiftung & Co KGaA;Germany;Industrial & Commercial Services;1,21651;0;1,21926003;0,804668195;0,177801981;0,177801981;#DIV/0!;3,247902985
Brunel International NV;Netherlands;Industrial & Commercial Services;3,21052;0;0,796117022;0,409501101;0,022639844;0,022639844;#DIV/0!;2,339766465
Aumann AG;Germany;Industrial Goods;2,59643;0,094589994;0,741021949;0,808932041;0,053488878;0,053488878;9,123026886;0,862947057
Heijmans NV;Netherlands;Industrial & Commercial Services;0,91116;0,111620282;0,331925893;3,752850281;0,039996398;0,039996398;25,71126025;2,869898116
Manitou BF SA;France;Industrial Goods;1,84233;0,05571193;0,617759333;1,067980103;0,069734415;0,069734415;33,21505668;1,850474899
Akasol AG;Germany;Industrial Goods;1,486;0,578927634;0,152230971;8,253078818;0,056711661;0,056711661;2,345045337;1,357611549
Somfy SA;France;Cyclical Consumer Products;1,94736;0,052837684;1,214831631;0,534644793;0,252099886;0,252099886;37,19337033;1,965211565
DMG Mori AG;Germany;Industrial Goods;1,60252;0,023770839;0,772156401;0,929646571;0,078074081;0,078074081;65,67807702;1,561223025
Mersen SA;France;Technology Equipment;1,5538;0,449228979;1,356997381;1,036663808;0,109397731;0,109397731;5,240932642;2,354378819
Heidelberger Druckmaschinen AG;Germany;Industrial Goods;1,62721;0,306125177;0,258970738;5,616522055;0,01030447;0,01030447;6,005508835;1,838437458
Centrotec Sustainable AG;Germany;Industrial Goods;3,25231;0,444726085;0,767688307;1,249542707;0,060111387;0,060111387;3,974933772;1,767756734
Prosegur Cash SA;Spain;Industrial & Commercial Services;1,48112;0,794452589;0,300691489;5,470414515;0,347538524;0,347538524;2,761072943;2,193541547
Vossloh AG;Germany;Industrial & Commercial Services;1,61682;0,47938343;0,996917148;1,421530731;-0,015414258;-0,015414258;3,690916399;1,769364162
Lisi SA;France;Industrial Goods;1,69284;0,364434485;1,06307745;1,053165109;0,128958317;0,128958317;5,386251155;1,962935667
Grupo Empresarial San Jose SA;Spain;Industrial & Commercial Services;1,29754;0,614140194;-0,072706357;-20,58720422;0,016893688;0,016893688;1,641979316;1,008405496
Bauer AG;Germany;Mineral Resources;1,14341;0,178014194;0,420292831;2,893547991;0,00277172;0,00277172;9,47772152;1,687168962
Bertrandt AG;Germany;Industrial & Commercial Services;2,81276;0,425597628;0,849610527;0,976541582;0,100930602;0,100930602;5,104419198;2,172428703
Latecoere SA;France;Industrial Goods;1,57406;0,090664349;0,594251888;1,515456657;0,067778945;0,067778945;14,58963604;1,32275985
Id Logistics SAS;France;Transportation;0,95699;0,23182278;0,378131468;3,564923654;0,039744634;0,039744634;14,11204535;3,27149358
Jacquet Metal Service SA;France;Mineral Resources;1,66712;0,235551928;0,433127075;2,223076875;0,06279438;0,06279438;10,03920201;2,364753386
va Q tec AG;Germany;Cyclical Consumer Products;1,76658;0,446793875;1,584878574;0,801988979;-0,025660964;-0,025660964;3,141174108;1,403457351
Alfen NV;Netherlands;Industrial Goods;1,03388;0,078949872;0,323694474;3,333088451;0,081851042;0,081851042;44,19759036;3,489394084
2G Energy AG;Germany;Industrial Goods;2,29673;0,071653676;0,620816955;1,108485792;0,056371465;0,056371465;29,76194891;2,132553058
Financiere de l'Odet SA;France;Cyclical Consumer Services;0,97676;0,571530107;0,331536496;11,80780441;0,029292445;0,029292445;2,562228401;1,464390672
Energiekontor AG;Germany;Utilities;2,8079;1,265028734;0,437285582;4,150259141;0,074018268;0,074018268;0,737615356;0,933104621
Sif Holding NV;Netherlands;Renewable Energy;0,97622;0,316226314;1,134722341;1,190842888;0,374350424;0,374350424;12,59159483;3,98179362
BayWa AG;Germany;Food & Beverages;1,36512;0,255634397;0,271634187;4,857994026;0,009649612;0,009649612;15,40333872;3,937623211
technotrans SE;Germany;Industrial Goods;2,09353;0,284231413;1,029911303;0,801604532;0,180519154;0,180519154;10,68481375;3,036959709
Kendrion NV;Netherlands;Industrial Goods;1,38298;0,513360324;1,454251012;1,005567929;0,157894737;0,157894737;7,283911672;3,739271255
Colas SA;France;Industrial & Commercial Services;1,03118;0,025915261;0,575277664;2,079013228;0,067873303;0,067873303;92,8968254;2,407445496
GL Events SA;France;Industrial & Commercial Services;0,88796;0,86879521;0,625773782;3,396501373;0,058308994;0,058308994;1,823995105;1,58467821
Stef SA;France;Transportation;0,68404;0,332398419;0,844691775;2,256208634;0,126386174;0,126386174;12,08287652;4,016329054
Schaltbau Holding AG;Germany;Industrial Goods;1,49789;0,417760049;0,132198077;10,49983463;-0,174028569;-0,174028569;4,158017197;1,737053468
Villeroy & Boch AG;Germany;Cyclical Consumer Products;1,91179;0,120009563;0,452306957;2,631606765;0,071479799;0,071479799;16,66334661;1,999760937
MAX Automation SE;Germany;Industrial Goods;1,98374;0,305516033;0,652147898;1,335859443;0,065793813;0,065793813;3,868012398;1,181739802
Dr Hoenle AG;Germany;Industrial Goods;2,89013;0,097050105;1,212099568;0,507159694;0,186189779;0,186189779;18,75363385;1,820042141
Etex NV;Belgium;Cyclical Consumer Products;0,93338;0,58985214;1,094606166;2,167944499;0,164835911;0,164835911;5,273840694;3,110786221
Engie Eps SA;France;Renewable Energy;2,09784;0,81975144;-0,100140059;-15,31733758;-0,551033626;-0,551033626;0,746571316;0,612002911
Singulus Technologies AG;Germany;Industrial Goods;1,78765;0,165745856;0,269337017;3,507692308;-0,044198895;-0,044198895;7,5;1,243093923
Fincantieri SpA;Italy;Industrial Goods;0,96182;0,06367613;0,285130579;4,170576907;0,013172591;0,013172591;18,17291665;1,15718101
Europlasma SA;France;Industrial & Commercial Services;0,69224;0,372742367;-0,515909322;-4,036912972;-0,739791942;-0,739791942;1,194;0,445054386
Sonae Capital SGPS SA;Portugal;Industrial Conglomerates;1,49098;0,572238317;1,812815178;0,840324643;-0,042102266;-0,042102266;2,001117262;1,145115975
Figeac Aero SARL;France;Industrial Goods;1,65663;0,548073618;0,477905089;2,794204911;0,051926382;0,051926382;1,614575847;0,884906426
Airtificial Intelligence Structures SA;Spain;Industrial & Commercial Services;2,41155;0,102915609;1,008932358;0,591432749;0,000295947;0,000295947;6,940367909;0,71427219
Voltabox AG;Germany;Industrial Goods;18,93193;0,025411286;1,089440851;0,102964283;-0,046654205;-0,046654205;7,68686584;0,195333147
